date,State,Type,Confirmed
Mar 1 2014,South Australia,C,0
Mar 1 2014,South Australia,A and B,0
Mar 1 2014,South Australia,Untyped,0
Mar 1 2014,Tasmania,A(H1N1)pdm09,2
Mar 1 2014,Tasmania,A(H3N2),2
Mar 1 2014,Tasmania,A(unsubtyped),8
Mar 1 2014,Tasmania,B,0
Mar 1 2014,Tasmania,C,0
Mar 1 2014,Tasmania,A and B,0
Mar 1 2014,Tasmania,Untyped,0
Mar 1 2014,Victoria,A(H1N1)pdm09,15
Mar 1 2014,Victoria,A(H3N2),4
Mar 1 2014,Victoria,A(unsubtyped),105
Mar 1 2014,Victoria,B,40
Mar 1 2014,Victoria,C,0
Mar 1 2014,Victoria,A and B,0
Mar 1 2014,Victoria,Untyped,0
Mar 1 2014,Western Australia,A(H1N1)pdm09,32
Mar 1 2014,Western Australia,A(H3N2),22
Mar 1 2014,Western Australia,A(unsubtyped),45
Mar 1 2014,Western Australia,B,28
Mar 1 2014,Western Australia,C,0
Mar 1 2014,Western Australia,A and B,0
Mar 1 2014,Western Australia,Untyped,0
Apr 1 2014,New South Wales,A(H1N1)pdm09,23
Apr 1 2014,New South Wales,A(H3N2),4
Apr 1 2014,New South Wales,A(unsubtyped),113
Apr 1 2014,New South Wales,B,59
Apr 1 2014,New South Wales,C,0
Apr 1 2014,New South Wales,A and B,4
Apr 1 2014,New South Wales,Untyped,1
Apr 1 2014,Northern Territory,A(H1N1)pdm09,1
Apr 1 2014,Northern Territory,A(H3N2),2
Apr 1 2014,Northern Territory,A(unsubtyped),4
Apr 1 2014,Northern Territory,B,22
Apr 1 2014,Northern Territory,C,0
Apr 1 2014,Northern Territory,A and B,0
Apr 1 2014,Northern Territory,Untyped,0
Apr 1 2014,Queensland,A(H1N1)pdm09,130
Apr 1 2014,Queensland,A(H3N2),12
Apr 1 2014,Queensland,A(unsubtyped),194
Apr 1 2014,Queensland,B,48
Apr 1 2014,Queensland,C,0
Apr 1 2014,Queensland,A and B,0
Apr 1 2014,Queensland,Untyped,0
Apr 1 2014,South Australia,A(H1N1)pdm09,4
Apr 1 2014,South Australia,A(H3N2),0
Apr 1 2014,South Australia,A(unsubtyped),108
Apr 1 2014,South Australia,B,25
Apr 1 2014,South Australia,C,0
Apr 1 2014,South Australia,A and B,0
Apr 1 2014,South Australia,Untyped,0
Apr 1 2014,Tasmania,A(H1N1)pdm09,4
Apr 1 2014,Tasmania,A(H3N2),1
Apr 1 2014,Tasmania,A(unsubtyped),11
Apr 1 2014,Tasmania,B,1
Apr 1 2014,Tasmania,C,0
Apr 1 2014,Tasmania,A and B,0
Apr 1 2014,Tasmania,Untyped,0
Apr 1 2014,Victoria,A(H1N1)pdm09,8
Apr 1 2014,Victoria,A(H3N2),1
Apr 1 2014,Victoria,A(unsubtyped),91
Apr 1 2014,Victoria,B,26
Apr 1 2014,Victoria,C,0
Apr 1 2014,Victoria,A and B,1
Apr 1 2014,Victoria,Untyped,0
Apr 1 2014,Western Australia,A(H1N1)pdm09,16
Apr 1 2014,Western Australia,A(H3N2),36
Apr 1 2014,Western Australia,A(unsubtyped),46
Apr 1 2014,Western Australia,B,32
Apr 1 2014,Western Australia,C,0
