date,State,Type,Confirmed
Jan 1 2015,Victoria,A(H1N1)pdm09,8
Jan 1 2015,Victoria,A(H3N2),0
Jan 1 2015,Victoria,A(unsubtyped),122
Jan 1 2015,Victoria,B,48
Jan 1 2015,Victoria,C,0
Jan 1 2015,Victoria,A and B,2
Jan 1 2015,Victoria,Untyped,0
Jan 1 2015,Western Australia,A(H1N1)pdm09,9
Jan 1 2015,Western Australia,A(H3N2),57
Jan 1 2015,Western Australia,A(unsubtyped),76
Jan 1 2015,Western Australia,B,28
Jan 1 2015,Western Australia,C,0
Jan 1 2015,Western Australia,A and B,0
Jan 1 2015,Western Australia,Untyped,0
Feb 1 2015,New South Wales,A(H1N1)pdm09,28
Feb 1 2015,New South Wales,A(H3N2),94
Feb 1 2015,New South Wales,A(unsubtyped),150
Feb 1 2015,New South Wales,B,77
Feb 1 2015,New South Wales,C,0
Feb 1 2015,New South Wales,A and B,2
Feb 1 2015,New South Wales,Untyped,0
Feb 1 2015,Northern Territory,A(H1N1)pdm09,3
Feb 1 2015,Northern Territory,A(H3N2),3
Feb 1 2015,Northern Territory,A(unsubtyped),1
Feb 1 2015,Northern Territory,B,2
Feb 1 2015,Northern Territory,C,0
Feb 1 2015,Northern Territory,A and B,0
Feb 1 2015,Northern Territory,Untyped,0
Feb 1 2015,Queensland,A(H1N1)pdm09,21
Feb 1 2015,Queensland,A(H3N2),87
Feb 1 2015,Queensland,A(unsubtyped),193
Feb 1 2015,Queensland,B,78
Feb 1 2015,Queensland,C,0
Feb 1 2015,Queensland,A and B,0
Feb 1 2015,Queensland,Untyped,0
Feb 1 2015,South Australia,A(H1N1)pdm09,3
Feb 1 2015,South Australia,A(H3N2),0
Feb 1 2015,South Australia,A(unsubtyped),160
Feb 1 2015,South Australia,B,48
Feb 1 2015,South Australia,C,0
Feb 1 2015,South Australia,A and B,0
Feb 1 2015,South Australia,Untyped,0
Feb 1 2015,Tasmania,A(H1N1)pdm09,0
Feb 1 2015,Tasmania,A(H3N2),3
Feb 1 2015,Tasmania,A(unsubtyped),3
Feb 1 2015,Tasmania,B,1
Feb 1 2015,Tasmania,C,0
Feb 1 2015,Tasmania,A and B,0
Feb 1 2015,Tasmania,Untyped,0
Feb 1 2015,Victoria,A(H1N1)pdm09,4
Feb 1 2015,Victoria,A(H3N2),1
Feb 1 2015,Victoria,A(unsubtyped),135
Feb 1 2015,Victoria,B,44
Feb 1 2015,Victoria,C,0
Feb 1 2015,Victoria,A and B,2
Feb 1 2015,Victoria,Untyped,0
Feb 1 2015,Western Australia,A(H1N1)pdm09,17
Feb 1 2015,Western Australia,A(H3N2),57
Feb 1 2015,Western Australia,A(unsubtyped),64
Feb 1 2015,Western Australia,B,30
Feb 1 2015,Western Australia,C,0
Feb 1 2015,Western Australia,A and B,0
Feb 1 2015,Western Australia,Untyped,0
Mar 1 2015,New South Wales,A(H1N1)pdm09,43
Mar 1 2015,New South Wales,A(H3N2),77
Mar 1 2015,New South Wales,A(unsubtyped),172
Mar 1 2015,New South Wales,B,114
Mar 1 2015,New South Wales,C,0
Mar 1 2015,New South Wales,A and B,2
Mar 1 2015,New South Wales,Untyped,0
Mar 1 2015,Northern Territory,A(H1N1)pdm09,0
Mar 1 2015,Northern Territory,A(H3N2),2
Mar 1 2015,Northern Territory,A(unsubtyped),3
Mar 1 2015,Northern Territory,B,6
Mar 1 2015,Northern Territory,C,0
Mar 1 2015,Northern Territory,A and B,0
Mar 1 2015,Northern Territory,Untyped,0
Mar 1 2015,Queensland,A(H1N1)pdm09,17
Mar 1 2015,Queensland,A(H3N2),100
Mar 1 2015,Queensland,A(unsubtyped),242
Mar 1 2015,Queensland,B,114
Mar 1 2015,Queensland,C,0
Mar 1 2015,Queensland,A and B,0
Mar 1 2015,Queensland,Untyped,0
Mar 1 2015,South Australia,A(H1N1)pdm09,0
Mar 1 2015,South Australia,A(H3N2),0
Mar 1 2015,South Australia,A(unsubtyped),265
Mar 1 2015,South Australia,B,85
Mar 1 2015,South Australia,C,0
Mar 1 2015,South Australia,A and B,0
Mar 1 2015,South Australia,Untyped,0
Mar 1 2015,Tasmania,A(H1N1)pdm09,0
Mar 1 2015,Tasmania,A(H3N2),5
Mar 1 2015,Tasmania,A(unsubtyped),10
Mar 1 2015,Tasmania,B,2
Mar 1 2015,Tasmania,C,0
Mar 1 2015,Tasmania,A and B,0
Mar 1 2015,Tasmania,Untyped,0
Mar 1 2015,Victoria,A(H1N1)pdm09,4
Mar 1 2015,Victoria,A(H3N2),7
Mar 1 2015,Victoria,A(unsubtyped),184
Mar 1 2015,Victoria,B,54
Mar 1 2015,Victoria,C,0
Mar 1 2015,Victoria,A and B,0
Mar 1 2015,Victoria,Untyped,0
Mar 1 2015,Western Australia,A(H1N1)pdm09,7
Mar 1 2015,Western Australia,A(H3N2),40
Mar 1 2015,Western Australia,A(unsubtyped),72
Mar 1 2015,Western Australia,B,41
Mar 1 2015,Western Australia,C,0
Mar 1 2015,Western Australia,A and B,0
Mar 1 2015,Western Australia,Untyped,0
Apr 1 2015,New South Wales,A(H1N1)pdm09,7
Apr 1 2015,New South Wales,A(H3N2),79
Apr 1 2015,New South Wales,A(unsubtyped),158
Apr 1 2015,New South Wales,B,123
Apr 1 2015,New South Wales,C,0
Apr 1 2015,New South Wales,A and B,3
Apr 1 2015,New South Wales,Untyped,0
Apr 1 2015,Northern Territory,A(H1N1)pdm09,0
Apr 1 2015,Northern Territory,A(H3N2),1
Apr 1 2015,Northern Territory,A(unsubtyped),2
Apr 1 2015,Northern Territory,B,13
Apr 1 2015,Northern Territory,C,0
Apr 1 2015,Northern Territory,A and B,0
Apr 1 2015,Northern Territory,Untyped,0
Apr 1 2015,Queensland,A(H1N1)pdm09,4
Apr 1 2015,Queensland,A(H3N2),100
Apr 1 2015,Queensland,A(unsubtyped),283
Apr 1 2015,Queensland,B,182
Apr 1 2015,Queensland,C,0
Apr 1 2015,Queensland,A and B,0
Apr 1 2015,Queensland,Untyped,0
Apr 1 2015,South Australia,A(H1N1)pdm09,0
Apr 1 2015,South Australia,A(H3N2),0
Apr 1 2015,South Australia,A(unsubtyped),357
Apr 1 2015,South Australia,B,135
Apr 1 2015,South Australia,C,0
Apr 1 2015,South Australia,A and B,0
Apr 1 2015,South Australia,Untyped,0
Apr 1 2015,Tasmania,A(H1N1)pdm09,1
Apr 1 2015,Tasmania,A(H3N2),7
Apr 1 2015,Tasmania,A(unsubtyped),16
Apr 1 2015,Tasmania,B,9
Apr 1 2015,Tasmania,C,0
Apr 1 2015,Tasmania,A and B,0
Apr 1 2015,Tasmania,Untyped,0
Apr 1 2015,Victoria,A(H1N1)pdm09,3
Apr 1 2015,Victoria,A(H3N2),0
Apr 1 2015,Victoria,A(unsubtyped),230
Apr 1 2015,Victoria,B,123
Apr 1 2015,Victoria,C,1
Apr 1 2015,Victoria,A and B,3
Apr 1 2015,Victoria,Untyped,0
Apr 1 2015,Western Australia,A(H1N1)pdm09,14
Apr 1 2015,Western Australia,A(H3N2),68
Apr 1 2015,Western Australia,A(unsubtyped),71
Apr 1 2015,Western Australia,B,56
Apr 1 2015,Western Australia,C,0
Apr 1 2015,Western Australia,A and B,0
Apr 1 2015,Western Australia,Untyped,0
May 1 2015,New South Wales,A(H1N1)pdm09,17
May 1 2015,New South Wales,A(H3N2),61
May 1 2015,New South Wales,A(unsubtyped),166
May 1 2015,New South Wales,B,219
May 1 2015,New South Wales,C,0
May 1 2015,New South Wales,A and B,5
May 1 2015,New South Wales,Untyped,0
May 1 2015,Northern Territory,A(H1N1)pdm09,0
May 1 2015,Northern Territory,A(H3N2),2
May 1 2015,Northern Territory,A(unsubtyped),4
May 1 2015,Northern Territory,B,11
May 1 2015,Northern Territory,C,0
May 1 2015,Northern Territory,A and B,0
May 1 2015,Northern Territory,Untyped,0
May 1 2015,Queensland,A(H1N1)pdm09,4
May 1 2015,Queensland,A(H3N2),69
May 1 2015,Queensland,A(unsubtyped),362
May 1 2015,Queensland,B,406
May 1 2015,Queensland,C,0
May 1 2015,Queensland,A and B,0
May 1 2015,Queensland,Untyped,0
May 1 2015,South Australia,A(H1N1)pdm09,1
May 1 2015,South Australia,A(H3N2),0
May 1 2015,South Australia,A(unsubtyped),213
May 1 2015,South Australia,B,326
May 1 2015,South Australia,C,0
May 1 2015,South Australia,A and B,0
May 1 2015,South Australia,Untyped,0
May 1 2015,Tasmania,A(H1N1)pdm09,2
May 1 2015,Tasmania,A(H3N2),13
May 1 2015,Tasmania,A(unsubtyped),20
May 1 2015,Tasmania,B,3
May 1 2015,Tasmania,C,0
May 1 2015,Tasmania,A and B,0
May 1 2015,Tasmania,Untyped,0
May 1 2015,Victoria,A(H1N1)pdm09,4
May 1 2015,Victoria,A(H3N2),0
May 1 2015,Victoria,A(unsubtyped),258
May 1 2015,Victoria,B,228
May 1 2015,Victoria,C,0
May 1 2015,Victoria,A and B,7
May 1 2015,Victoria,Untyped,0
May 1 2015,Western Australia,A(H1N1)pdm09,11
May 1 2015,Western Australia,A(H3N2),70
May 1 2015,Western Australia,A(unsubtyped),99
May 1 2015,Western Australia,B,181
May 1 2015,Western Australia,C,0
May 1 2015,Western Australia,A and B,0
May 1 2015,Western Australia,Untyped,0
Jun 1 2015,New South Wales,A(H1N1)pdm09,30
Jun 1 2015,New South Wales,A(H3N2),60
Jun 1 2015,New South Wales,A(unsubtyped),286
Jun 1 2015,New South Wales,B,506
Jun 1 2015,New South Wales,C,0
Jun 1 2015,New South Wales,A and B,2
Jun 1 2015,New South Wales,Untyped,0
Jun 1 2015,Northern Territory,A(H1N1)pdm09,4
Jun 1 2015,Northern Territory,A(H3N2),0
Jun 1 2015,Northern Territory,A(unsubtyped),3
Jun 1 2015,Northern Territory,B,7
Jun 1 2015,Northern Territory,C,0
Jun 1 2015,Northern Territory,A and B,0
Jun 1 2015,Northern Territory,Untyped,0
Jun 1 2015,Queensland,A(H1N1)pdm09,13
Jun 1 2015,Queensland,A(H3N2),74
Jun 1 2015,Queensland,A(unsubtyped),310
Jun 1 2015,Queensland,B,599
Jun 1 2015,Queensland,C,0
Jun 1 2015,Queensland,A and B,0
Jun 1 2015,Queensland,Untyped,0
Jun 1 2015,South Australia,A(H1N1)pdm09,0
Jun 1 2015,South Australia,A(H3N2),0
Jun 1 2015,South Australia,A(unsubtyped),205
Jun 1 2015,South Australia,B,625
Jun 1 2015,South Australia,C,0
Jun 1 2015,South Australia,A and B,0
Jun 1 2015,South Australia,Untyped,0
Jun 1 2015,Tasmania,A(H1N1)pdm09,7
Jun 1 2015,Tasmania,A(H3N2),15
Jun 1 2015,Tasmania,A(unsubtyped),23
Jun 1 2015,Tasmania,B,13
Jun 1 2015,Tasmania,C,0
Jun 1 2015,Tasmania,A and B,0
Jun 1 2015,Tasmania,Untyped,0
Jun 1 2015,Victoria,A(H1N1)pdm09,9
Jun 1 2015,Victoria,A(H3N2),6
Jun 1 2015,Victoria,A(unsubtyped),332
Jun 1 2015,Victoria,B,478
Jun 1 2015,Victoria,C,0
Jun 1 2015,Victoria,A and B,12
Jun 1 2015,Victoria,Untyped,0
Jun 1 2015,Western Australia,A(H1N1)pdm09,11
Jun 1 2015,Western Australia,A(H3N2),79
Jun 1 2015,Western Australia,A(unsubtyped),95
Jun 1 2015,Western Australia,B,298
Jun 1 2015,Western Australia,C,0
Jun 1 2015,Western Australia,A and B,0
Jun 1 2015,Western Australia,Untyped,1
Jul 1 2015,New South Wales,A(H1N1)pdm09,140
Jul 1 2015,New South Wales,A(H3N2),272
Jul 1 2015,New South Wales,A(unsubtyped),723
Jul 1 2015,New South Wales,B,1962
Jul 1 2015,New South Wales,C,0
Jul 1 2015,New South Wales,A and B,13
Jul 1 2015,New South Wales,Untyped,0
Jul 1 2015,Northern Territory,A(H1N1)pdm09,0
Jul 1 2015,Northern Territory,A(H3N2),4
Jul 1 2015,Northern Territory,A(unsubtyped),10
Jul 1 2015,Northern Territory,B,25
Jul 1 2015,Northern Territory,C,0
Jul 1 2015,Northern Territory,A and B,0
Jul 1 2015,Northern Territory,Untyped,0
Jul 1 2015,Queensland,A(H1N1)pdm09,26
Jul 1 2015,Queensland,A(H3N2),129
Jul 1 2015,Queensland,A(unsubtyped),810
Jul 1 2015,Queensland,B,2571
Jul 1 2015,Queensland,C,0
Jul 1 2015,Queensland,A and B,0
Jul 1 2015,Queensland,Untyped,0
Jul 1 2015,South Australia,A(H1N1)pdm09,18
Jul 1 2015,South Australia,A(H3N2),0
Jul 1 2015,South Australia,A(unsubtyped),810
Jul 1 2015,South Australia,B,1699
Jul 1 2015,South Australia,C,0
Jul 1 2015,South Australia,A and B,0
Jul 1 2015,South Australia,Untyped,0
Jul 1 2015,Tasmania,A(H1N1)pdm09,5
Jul 1 2015,Tasmania,A(H3N2),42
Jul 1 2015,Tasmania,A(unsubtyped),54
Jul 1 2015,Tasmania,B,51
Jul 1 2015,Tasmania,C,0
Jul 1 2015,Tasmania,A and B,0
Jul 1 2015,Tasmania,Untyped,0
Jul 1 2015,Victoria,A(H1N1)pdm09,6
Jul 1 2015,Victoria,A(H3N2),5
Jul 1 2015,Victoria,A(unsubtyped),1166
Jul 1 2015,Victoria,B,1646
Jul 1 2015,Victoria,C,0
Jul 1 2015,Victoria,A and B,9
Jul 1 2015,Victoria,Untyped,0
Jul 1 2015,Western Australia,A(H1N1)pdm09,29
Jul 1 2015,Western Australia,A(H3N2),185
Jul 1 2015,Western Australia,A(unsubtyped),141
Jul 1 2015,Western Australia,B,744
Jul 1 2015,Western Australia,C,0
Jul 1 2015,Western Australia,A and B,0
Jul 1 2015,Western Australia,Untyped,0
Aug 1 2015,New South Wales,A(H1N1)pdm09,628
Aug 1 2015,New South Wales,A(H3N2),1189
Aug 1 2015,New South Wales,A(unsubtyped),1842
Aug 1 2015,New South Wales,B,7649
Aug 1 2015,New South Wales,C,0
Aug 1 2015,New South Wales,A and B,41
Aug 1 2015,New South Wales,Untyped,0
Aug 1 2015,Northern Territory,A(H1N1)pdm09,0
Aug 1 2015,Northern Territory,A(H3N2),11
Aug 1 2015,Northern Territory,A(unsubtyped),21
Aug 1 2015,Northern Territory,B,76
Aug 1 2015,Northern Territory,C,0
Aug 1 2015,Northern Territory,A and B,1
Aug 1 2015,Northern Territory,Untyped,0
Aug 1 2015,Queensland,A(H1N1)pdm09,25
Aug 1 2015,Queensland,A(H3N2),248
Aug 1 2015,Queensland,A(unsubtyped),2368
Aug 1 2015,Queensland,B,8239
Aug 1 2015,Queensland,C,0
Aug 1 2015,Queensland,A and B,0
Aug 1 2015,Queensland,Untyped,0
Aug 1 2015,South Australia,A(H1N1)pdm09,5
Aug 1 2015,South Australia,A(H3N2),0
Aug 1 2015,South Australia,A(unsubtyped),1913
Aug 1 2015,South Australia,B,3023
Aug 1 2015,South Australia,C,0
Aug 1 2015,South Australia,A and B,0
Aug 1 2015,South Australia,Untyped,0
Aug 1 2015,Tasmania,A(H1N1)pdm09,3
Aug 1 2015,Tasmania,A(H3N2),122
Aug 1 2015,Tasmania,A(unsubtyped),145
Aug 1 2015,Tasmania,B,184
Aug 1 2015,Tasmania,C,0
Aug 1 2015,Tasmania,A and B,0
Aug 1 2015,Tasmania,Untyped,0
Aug 1 2015,Victoria,A(H1N1)pdm09,11
Aug 1 2015,Victoria,A(H3N2),58
Aug 1 2015,Victoria,A(unsubtyped),2214
Aug 1 2015,Victoria,B,3655
Aug 1 2015,Victoria,C,0
Aug 1 2015,Victoria,A and B,31
Aug 1 2015,Victoria,Untyped,0
Aug 1 2015,Western Australia,A(H1N1)pdm09,37
Aug 1 2015,Western Australia,A(H3N2),286
Aug 1 2015,Western Australia,A(unsubtyped),202
Aug 1 2015,Western Australia,B,731
Aug 1 2015,Western Australia,C,0
Aug 1 2015,Western Australia,A and B,0
Aug 1 2015,Western Australia,Untyped,0
Sep 1 2015,New South Wales,A(H1N1)pdm09,613
Sep 1 2015,New South Wales,A(H3N2),956
Sep 1 2015,New South Wales,A(unsubtyped),1801
Sep 1 2015,New South Wales,B,7124
Sep 1 2015,New South Wales,C,0
Sep 1 2015,New South Wales,A and B,33
Sep 1 2015,New South Wales,Untyped,0
Sep 1 2015,Northern Territory,A(H1N1)pdm09,2
Sep 1 2015,Northern Territory,A(H3N2),28
Sep 1 2015,Northern Territory,A(unsubtyped),33
Sep 1 2015,Northern Territory,B,107
Sep 1 2015,Northern Territory,C,0
Sep 1 2015,Northern Territory,A and B,1
Sep 1 2015,Northern Territory,Untyped,0
Sep 1 2015,Queensland,A(H1N1)pdm09,27
Sep 1 2015,Queensland,A(H3N2),171
Sep 1 2015,Queensland,A(unsubtyped),2397
Sep 1 2015,Queensland,B,5029
Sep 1 2015,Queensland,C,0
Sep 1 2015,Queensland,A and B,0
Sep 1 2015,Queensland,Untyped,0
Sep 1 2015,South Australia,A(H1N1)pdm09,0
Sep 1 2015,South Australia,A(H3N2),0
Sep 1 2015,South Australia,A(unsubtyped),2029
Sep 1 2015,South Australia,B,2084
Sep 1 2015,South Australia,C,0
Sep 1 2015,South Australia,A and B,0
Sep 1 2015,South Australia,Untyped,0
Sep 1 2015,Tasmania,A(H1N1)pdm09,2
Sep 1 2015,Tasmania,A(H3N2),77
Sep 1 2015,Tasmania,A(unsubtyped),114
Sep 1 2015,Tasmania,B,310
Sep 1 2015,Tasmania,C,0
Sep 1 2015,Tasmania,A and B,0
Sep 1 2015,Tasmania,Untyped,0
Sep 1 2015,Victoria,A(H1N1)pdm09,7
Sep 1 2015,Victoria,A(H3N2),8
Sep 1 2015,Victoria,A(unsubtyped),1757
Sep 1 2015,Victoria,B,3083
Sep 1 2015,Victoria,C,0
Sep 1 2015,Victoria,A and B,20
Sep 1 2015,Victoria,Untyped,1
Sep 1 2015,Western Australia,A(H1N1)pdm09,31
Sep 1 2015,Western Australia,A(H3N2),327
Sep 1 2015,Western Australia,A(unsubtyped),272
Sep 1 2015,Western Australia,B,600
Sep 1 2015,Western Australia,C,0
Sep 1 2015,Western Australia,A and B,0
Sep 1 2015,Western Australia,Untyped,0
Oct 1 2015,New South Wales,A(H1N1)pdm09,110
Oct 1 2015,New South Wales,A(H3N2),259
Oct 1 2015,New South Wales,A(unsubtyped),503
Oct 1 2015,New South Wales,B,1174
Oct 1 2015,New South Wales,C,0
Oct 1 2015,New South Wales,A and B,5
Oct 1 2015,New South Wales,Untyped,0
Oct 1 2015,Northern Territory,A(H1N1)pdm09,6
Oct 1 2015,Northern Territory,A(H3N2),28
Oct 1 2015,Northern Territory,A(unsubtyped),59
Oct 1 2015,Northern Territory,B,42
Oct 1 2015,Northern Territory,C,0
Oct 1 2015,Northern Territory,A and B,0
Oct 1 2015,Northern Territory,Untyped,0
Oct 1 2015,Queensland,A(H1N1)pdm09,12
Oct 1 2015,Queensland,A(H3N2),134
Oct 1 2015,Queensland,A(unsubtyped),649
Oct 1 2015,Queensland,B,860
Oct 1 2015,Queensland,C,0
Oct 1 2015,Queensland,A and B,0
Oct 1 2015,Queensland,Untyped,0
Oct 1 2015,South Australia,A(H1N1)pdm09,0
Oct 1 2015,South Australia,A(H3N2),0
Oct 1 2015,South Australia,A(unsubtyped),712
Oct 1 2015,South Australia,B,615
Oct 1 2015,South Australia,C,0
Oct 1 2015,South Australia,A and B,0
Oct 1 2015,South Australia,Untyped,0
Oct 1 2015,Tasmania,A(H1N1)pdm09,4
Oct 1 2015,Tasmania,A(H3N2),23
Oct 1 2015,Tasmania,A(unsubtyped),43
Oct 1 2015,Tasmania,B,69
Oct 1 2015,Tasmania,C,0
Oct 1 2015,Tasmania,A and B,0
Oct 1 2015,Tasmania,Untyped,0
Oct 1 2015,Victoria,A(H1N1)pdm09,3
Oct 1 2015,Victoria,A(H3N2),2
Oct 1 2015,Victoria,A(unsubtyped),465
Oct 1 2015,Victoria,B,603
Oct 1 2015,Victoria,C,0
Oct 1 2015,Victoria,A and B,10
Oct 1 2015,Victoria,Untyped,0
Oct 1 2015,Western Australia,A(H1N1)pdm09,33
Oct 1 2015,Western Australia,A(H3N2),172
Oct 1 2015,Western Australia,A(unsubtyped),181
Oct 1 2015,Western Australia,B,236
Oct 1 2015,Western Australia,C,0
Oct 1 2015,Western Australia,A and B,0
Oct 1 2015,Western Australia,Untyped,0
Nov 1 2015,New South Wales,A(H1N1)pdm09,19
Nov 1 2015,New South Wales,A(H3N2),44
Nov 1 2015,New South Wales,A(unsubtyped),118
Nov 1 2015,New South Wales,B,108
Nov 1 2015,New South Wales,C,0
Nov 1 2015,New South Wales,A and B,0
Nov 1 2015,New South Wales,Untyped,0
Nov 1 2015,Northern Territory,A(H1N1)pdm09,2
Nov 1 2015,Northern Territory,A(H3N2),36
Nov 1 2015,Northern Territory,A(unsubtyped),28
Nov 1 2015,Northern Territory,B,25
Nov 1 2015,Northern Territory,C,0
Nov 1 2015,Northern Territory,A and B,0
Nov 1 2015,Northern Territory,Untyped,0
Nov 1 2015,Queensland,A(H1N1)pdm09,11
Nov 1 2015,Queensland,A(H3N2),40
Nov 1 2015,Queensland,A(unsubtyped),210
Nov 1 2015,Queensland,B,108
Nov 1 2015,Queensland,C,0
Nov 1 2015,Queensland,A and B,0
Nov 1 2015,Queensland,Untyped,0
Nov 1 2015,South Australia,A(H1N1)pdm09,0
Nov 1 2015,South Australia,A(H3N2),0
Nov 1 2015,South Australia,A(unsubtyped),69
Nov 1 2015,South Australia,B,68
Nov 1 2015,South Australia,C,0
Nov 1 2015,South Australia,A and B,0
Nov 1 2015,South Australia,Untyped,0
Nov 1 2015,Tasmania,A(H1N1)pdm09,0
Nov 1 2015,Tasmania,A(H3N2),2
Nov 1 2015,Tasmania,A(unsubtyped),10
Nov 1 2015,Tasmania,B,4
Nov 1 2015,Tasmania,C,0
Nov 1 2015,Tasmania,A and B,0
Nov 1 2015,Tasmania,Untyped,0
Nov 1 2015,Victoria,A(H1N1)pdm09,1
Nov 1 2015,Victoria,A(H3N2),0
Nov 1 2015,Victoria,A(unsubtyped),89
Nov 1 2015,Victoria,B,55
Nov 1 2015,Victoria,C,0
Nov 1 2015,Victoria,A and B,0
Nov 1 2015,Victoria,Untyped,0
Nov 1 2015,Western Australia,A(H1N1)pdm09,3
Nov 1 2015,Western Australia,A(H3N2),32
Nov 1 2015,Western Australia,A(unsubtyped),39
Nov 1 2015,Western Australia,B,36
Nov 1 2015,Western Australia,C,0
Nov 1 2015,Western Australia,A and B,0
Nov 1 2015,Western Australia,Untyped,0
Des 1 2015,New South Wales,A(H1N1)pdm09,32
Des 1 2015,New South Wales,A(H3N2),17
Des 1 2015,New South Wales,A(unsubtyped),83
Des 1 2015,New South Wales,B,35
Des 1 2015,New South Wales,C,0
Des 1 2015,New South Wales,A and B,2
Des 1 2015,New South Wales,Untyped,0
Des 1 2015,Northern Territory,A(H1N1)pdm09,2
Des 1 2015,Northern Territory,A(H3N2),19
Des 1 2015,Northern Territory,A(unsubtyped),4
Des 1 2015,Northern Territory,B,15
Des 1 2015,Northern Territory,C,0
Des 1 2015,Northern Territory,A and B,0
Des 1 2015,Northern Territory,Untyped,0
Des 1 2015,Queensland,A(H1N1)pdm09,18
Des 1 2015,Queensland,A(H3N2),27
Des 1 2015,Queensland,A(unsubtyped),167
Des 1 2015,Queensland,B,40
Des 1 2015,Queensland,C,0
Des 1 2015,Queensland,A and B,0
Des 1 2015,Queensland,Untyped,0
Des 1 2015,South Australia,A(H1N1)pdm09,0
Des 1 2015,South Australia,A(H3N2),0
Des 1 2015,South Australia,A(unsubtyped),47
Des 1 2015,South Australia,B,15
Des 1 2015,South Australia,C,0
Des 1 2015,South Australia,A and B,0
Des 1 2015,South Australia,Untyped,0
Des 1 2015,Tasmania,A(H1N1)pdm09,2
Des 1 2015,Tasmania,A(H3N2),1
Des 1 2015,Tasmania,A(unsubtyped),9
Des 1 2015,Tasmania,B,1
Des 1 2015,Tasmania,C,0
Des 1 2015,Tasmania,A and B,0
Des 1 2015,Tasmania,Untyped,0
Des 1 2015,Victoria,A(H1N1)pdm09,3
Des 1 2015,Victoria,A(H3N2),0
Des 1 2015,Victoria,A(unsubtyped),56
Des 1 2015,Victoria,B,15
Des 1 2015,Victoria,C,0
Des 1 2015,Victoria,A and B,1
Des 1 2015,Victoria,Untyped,0
Des 1 2015,Western Australia,A(H1N1)pdm09,43
Des 1 2015,Western Australia,A(H3N2),16
Des 1 2015,Western Australia,A(unsubtyped),54
Des 1 2015,Western Australia,B,13
Des 1 2015,Western Australia,C,0
Des 1 2015,Western Australia,A and B,0
Des 1 2015,Western Australia,Untyped,0
Jan 1 2016,New South Wales,A(H1N1)pdm09,117
Jan 1 2016,New South Wales,A(H3N2),47
Jan 1 2016,New South Wales,A(unsubtyped),154
Jan 1 2016,New South Wales,B,36
Jan 1 2016,New South Wales,C,0
Jan 1 2016,New South Wales,A and B,1
Jan 1 2016,New South Wales,Untyped,0
Jan 1 2016,Northern Territory,A(H1N1)pdm09,6
Jan 1 2016,Northern Territory,A(H3N2),20
Jan 1 2016,Northern Territory,A(unsubtyped),7
Jan 1 2016,Northern Territory,B,5
Jan 1 2016,Northern Territory,C,0
Jan 1 2016,Northern Territory,A and B,0
Jan 1 2016,Northern Territory,Untyped,0
Jan 1 2016,Queensland,A(H1N1)pdm09,54
Jan 1 2016,Queensland,A(H3N2),49
Jan 1 2016,Queensland,A(unsubtyped),248
Jan 1 2016,Queensland,B,51
Jan 1 2016,Queensland,C,0
Jan 1 2016,Queensland,A and B,0
Jan 1 2016,Queensland,Untyped,0
Jan 1 2016,South Australia,A(H1N1)pdm09,0
Jan 1 2016,South Australia,A(H3N2),0
Jan 1 2016,South Australia,A(unsubtyped),86
Jan 1 2016,South Australia,B,21
Jan 1 2016,South Australia,C,0
Jan 1 2016,South Australia,A and B,0
Jan 1 2016,South Australia,Untyped,0
Jan 1 2016,Tasmania,A(H1N1)pdm09,1
Jan 1 2016,Tasmania,A(H3N2),1
Jan 1 2016,Tasmania,A(unsubtyped),6
Jan 1 2016,Tasmania,B,2
Jan 1 2016,Tasmania,C,0
Jan 1 2016,Tasmania,A and B,0
Jan 1 2016,Tasmania,Untyped,0
Jan 1 2016,Victoria,A(H1N1)pdm09,10
Jan 1 2016,Victoria,A(H3N2),0
Jan 1 2016,Victoria,A(unsubtyped),120
Jan 1 2016,Victoria,B,20
Jan 1 2016,Victoria,C,0
Jan 1 2016,Victoria,A and B,3
Jan 1 2016,Victoria,Untyped,0
Jan 1 2016,Western Australia,A(H1N1)pdm09,50
Jan 1 2016,Western Australia,A(H3N2),16
Jan 1 2016,Western Australia,A(unsubtyped),45
Jan 1 2016,Western Australia,B,20
Jan 1 2016,Western Australia,C,0
Jan 1 2016,Western Australia,A and B,0
Jan 1 2016,Western Australia,Untyped,0
Feb 1 2016,New South Wales,A(H1N1)pdm09,208
Feb 1 2016,New South Wales,A(H3N2),42
Feb 1 2016,New South Wales,A(unsubtyped),193
Feb 1 2016,New South Wales,B,101
Feb 1 2016,New South Wales,C,0
Feb 1 2016,New South Wales,A and B,0
Feb 1 2016,New South Wales,Untyped,0
Feb 1 2016,Northern Territory,A(H1N1)pdm09,13
Feb 1 2016,Northern Territory,A(H3N2),3
Feb 1 2016,Northern Territory,A(unsubtyped),7
Feb 1 2016,Northern Territory,B,1
Feb 1 2016,Northern Territory,C,0
Feb 1 2016,Northern Territory,A and B,0
Feb 1 2016,Northern Territory,Untyped,0
Feb 1 2016,Queensland,A(H1N1)pdm09,97
Feb 1 2016,Queensland,A(H3N2),33
Feb 1 2016,Queensland,A(unsubtyped),415
Feb 1 2016,Queensland,B,101
Feb 1 2016,Queensland,C,0
Feb 1 2016,Queensland,A and B,0
Feb 1 2016,Queensland,Untyped,0
Feb 1 2016,South Australia,A(H1N1)pdm09,0
