Dates,States,Cases
Des 1 2015,Western Australia,126
Jan 1 2016,New South Wales,355
Jan 1 2016,Northern Territory,38
Jan 1 2016,Queensland,402
Jan 1 2016,South Australia,107
Jan 1 2016,Tasmania,10
Jan 1 2016,Victoria,153
Jan 1 2016,Western Australia,131
Feb 1 2016,New South Wales,544
Feb 1 2016,Northern Territory,24
Feb 1 2016,Queensland,646
Feb 1 2016,South Australia,130
Feb 1 2016,Tasmania,16
Feb 1 2016,Victoria,188
Feb 1 2016,Western Australia,175
Mar 1 2016,New South Wales,678
Mar 1 2016,Northern Territory,15
Mar 1 2016,Queensland,1091
Mar 1 2016,South Australia,177
Mar 1 2016,Tasmania,21
Mar 1 2016,Victoria,294
Mar 1 2016,Western Australia,198
Apr 1 2016,New South Wales,881
Apr 1 2016,Northern Territory,28
Apr 1 2016,Queensland,942
Apr 1 2016,South Australia,299
Apr 1 2016,Tasmania,27
Apr 1 2016,Victoria,440
Apr 1 2016,Western Australia,189
May 1 2016,New South Wales,585
May 1 2016,Northern Territory,16
May 1 2016,Queensland,611
May 1 2016,South Australia,124
May 1 2016,Tasmania,17
May 1 2016,Victoria,252
May 1 2016,Western Australia,234
Jun 1 2016,New South Wales,972
Jun 1 2016,Northern Territory,11
Jun 1 2016,Queensland,594
Jun 1 2016,South Australia,95
Jun 1 2016,Tasmania,30
Jun 1 2016,Victoria,316
Jun 1 2016,Western Australia,262
Jul 1 2016,New South Wales,4359
Jul 1 2016,Northern Territory,28
Jul 1 2016,Queensland,2009
Jul 1 2016,South Australia,377
Jul 1 2016,Tasmania,36
Jul 1 2016,Victoria,1055
Jul 1 2016,Western Australia,903
Aug 1 2016,New South Wales,10861
Aug 1 2016,Northern Territory,84
Aug 1 2016,Queensland,5961
Aug 1 2016,South Australia,1048
Aug 1 2016,Tasmania,239
Aug 1 2016,Victoria,2931
Aug 1 2016,Western Australia,1992
Sep 1 2016,New South Wales,12522
Sep 1 2016,Northern Territory,241
Sep 1 2016,Queensland,6904
Sep 1 2016,South Australia,2384
Sep 1 2016,Tasmania,462
Sep 1 2016,Victoria,4618
Sep 1 2016,Western Australia,2710
Oct 1 2016,New South Wales,2187
Oct 1 2016,Northern Territory,119
Oct 1 2016,Queensland,2185
Oct 1 2016,South Australia,1433
Oct 1 2016,Tasmania,108
Oct 1 2016,Victoria,1389
Oct 1 2016,Western Australia,682
Nov 1 2016,New South Wales,992
Nov 1 2016,Northern Territory,32
Nov 1 2016,Queensland,1000
Nov 1 2016,South Australia,1107
Nov 1 2016,Tasmania,60
Nov 1 2016,Victoria,718
Nov 1 2016,Western Australia,216
Des 1 2016,New South Wales,646
Des 1 2016,Northern Territory,70
Des 1 2016,Queensland,959
Des 1 2016,South Australia,590
Des 1 2016,Tasmania,30
Des 1 2016,Victoria,572
Des 1 2016,Western Australia,157
Jan 1 2017,New South Wales,653
Jan 1 2017,Northern Territory,65
Jan 1 2017,Queensland,868
Jan 1 2017,South Australia,271
Jan 1 2017,Tasmania,35
Jan 1 2017,Victoria,388
Jan 1 2017,Western Australia,130
Feb 1 2017,New South Wales,719
Feb 1 2017,Northern Territory,237
Feb 1 2017,Queensland,937
Feb 1 2017,South Australia,336
Feb 1 2017,Tasmania,27
Feb 1 2017,Victoria,320
Feb 1 2017,Western Australia,130
Mar 1 2017,New South Wales,957
Mar 1 2017,Northern Territory,169
Mar 1 2017,Queensland,1166
Mar 1 2017,South Australia,329
Mar 1 2017,Tasmania,44
Mar 1 2017,Victoria,371
Mar 1 2017,Western Australia,152
Apr 1 2017,New South Wales,545
Apr 1 2017,Northern Territory,36
Apr 1 2017,Queensland,638
Apr 1 2017,South Australia,251
Apr 1 2017,Tasmania,32
Apr 1 2017,Victoria,287
Apr 1 2017,Western Australia,98
May 1 2017,New South Wales,835
May 1 2017,Northern Territory,23
May 1 2017,Queensland,702
